67.37;23.634;1649.65;62800;62500;62200;КАЛУГА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
110.63;23.435;1635.77;62800;62500;62200;КАЗАНЬ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
10.64;23.400;1516.32;62800;62500;62200;ИЖЕВСК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
132.95;23.599;1647.20;62800;62500;62200;ВОРОНЕЖ;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
7.82;23.587;1481.28;62800;62500;62200;ВОЛОГДА;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
5.23;24.184;1639.67;62800;62500;62200;ВОЛГОГРАД;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
68.14;23.669;1652.10;62800;62500;62200;ВЛАДИМИР;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
56.61;23.646;1650.47;62800;62500;62200;БРЯНСК;Арматура А500С;18мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
88.98;18.825;1276.36;62800;62500;62200;ВОЛГОГРАД;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
93.43;18.767;1309.92;62800;62500;62200;ВЛАДИМИР;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
125.06;18.708;1305.84;62800;62500;62200;БРЯНСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
281.57;18.954;1322.99;62800;62500;62200;БЕЛГОРОД_КРЕЙДА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
0.01;7.476;497.15;56500;56500;56500;ЛОБНЯ;Арматура А500С;14мм.;(6м);ГОСТ 34028-2016;Арматура;6;
101.12;15.288;1051.81;64800;64500;64200;НАЛЬЧИК;Арматура А500С;14мм.;(12м);ГОСТ 34028-2016;Арматура;12;
93.86;15.000;1077.00;64800;64500;64200;ВЛАДИКАВКАЗ;Арматура А500С;14мм.;(12м);ГОСТ 34028-2016;Арматура;12;
54.62;14.414;1006.13;62800;62500;62200;ЯРОСЛАВЛЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
76.36;15.401;1074.97;62800;62500;62200;ЧЕХОВ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
40.05;14.590;1018.38;62800;62500;62200;ЧЕРЕПОВЕЦ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
38.95;14.403;904.49;62800;62500;62200;ЧЕЛНЫ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
42.69;14.332;1000.41;62800;62500;62200;УФА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
208.35;14.625;1064.70;62800;62500;62200;УЛЬЯНОВСК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
188.06;14.602;1136.00;62800;62500;62200;УГЛИ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
42.52;14.707;1070.66;62800;62500;62200;ТУЛА_ПЛЕХАНОВО;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
92.28;14.157;1044.79;63800;63500;63200;ТИТАРОВКА;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
43.73;14.473;1010.21;62800;62500;62200;ТВЕРЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
72.57;14.742;999.51;62800;62500;62200;СТАРЫЙ ОСКОЛ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
143.12;14.777;1090.55;63800;63500;63200;СТАВРОПОЛЬ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
78.38;14.217;1035.03;62800;62500;62200;САРАТОВ;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.75;
7.94;14.449;1051.92;62800;62500;62200;САРАНСК;Арматура А500С;14мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
139.56;19.035;1328.64;62800;62500;62200;САРАТОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.75;
14.52;18.954;1322.99;62800;62500;62200;САРАНСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
69.16;18.486;1290.32;62800;62500;62200;РЯЗАНЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
152.97;18.486;1364.27;63800;63500;63200;РОСТОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
166.06;19.024;1346.91;63800;63500;63200;ПЯТИГОРСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
54.81;19.165;1337.69;62800;62500;62200;ПИТЕР_ФОРНОСОВО;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
173.90;18.486;1290.32;62800;62500;62200;ПЕНЗА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
180.71;18.486;1290.32;62800;62500;62200;ОРЕЛ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
10.66;18.486;1271.84;63800;63500;63200;НОВОЧЕРКАССК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
15.25;18.486;1290.32;62800;62500;62200;НИЖНИЙ ОКСКАЯ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
62.08;18.989;1306.45;64800;64500;64200;НАЛЬЧИК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
552.41;18.499;1272.72;64800;64500;64200;МАХАЧКАЛА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
99.24;18.825;1314.01;62800;62500;62200;ЛОБНЯ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
167.97;18.498;1291.14;62800;62500;62200;ЛИПЕЦК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
292.75;19.001;1288.25;62800;62500;62200;КУРСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
23.56;19.001;1193.25;62800;62500;62200;КИРОВ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
120.16;18.825;1314.01;62800;62500;62200;КАЛУГА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
247.04;18.802;1312.37;62800;62500;62200;КАЗАНЬ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
14.25;18.486;1197.89;62800;62500;62200;ИЖЕВСК;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
253.11;18.486;1290.32;62800;62500;62200;ВОРОНЕЖ;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
98.42;18.837;1182.96;62800;62500;62200;ВОЛОГДА;Арматура А500С;16мм.;(11,7м);ГОСТ 34028-2016;Арматура;11.7;
1.81;1804.860;116232.98;64400;64100;63800;ПЯТИГОРСК;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8130;
8.92;1779.086;114573.13;64400;64100;63800;ОРЕЛ;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8013.9;
10.67;1799.000;115855.59;64400;64100;63800;КУРСК;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8103.603;
37.21;1797.000;115726.80;64400;64100;63800;КАЛУГА;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8094.5946;
30.29;1810.188;116576.11;64400;64100;63800;КАЗАНЬ;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8154;
60.59;1808.000;116435.20;64400;64100;63800;ВОРОНЕЖ;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8144.144;
39.92;1433.000;92285.19;64400;64100;63800;ВЛАДИМИР;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;6454.954;
3.61;1810.058;116567.73;64400;64100;63800;БРЯНСК;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8153.414;
26.77;1810.000;116564.00;64400;64100;63800;БЕЛГОРОД_КРЕЙДА;Арматура А240С(А1);6мм.;бухта_БМЗ;ГОСТ 34028-2016;Арматура;8153.153;
20.62;2074.000;133565.59;64400;64100;63800;СТАВРОПОЛЬ;Арматура А240С(А1);6мм.;бухта_АЭМЗ;ГОСТ 34028-2016;Арматура;9342.342;
10.36;2072.833;133490.46;64400;64100;63800;РОСТОВ;Арматура А240С(А1);6мм.;бухта_АЭМЗ;ГОСТ 34028-2016;Арматура;9337.0871;
10.33;2077.000;133758.79;64400;64100;63800;ВОЛГОГРАД;Арматура А240С(А1);6мм.;бухта_АЭМЗ;ГОСТ 34028-2016;Арматура;9355.855;
4.28;1438.000;92607.19;64400;64100;63800;УФА;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6477.477;
71.52;1452.102;93515.37;64400;64100;63800;УЛЬЯНОВСК;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6541;
25.81;1434.120;92357.33;64400;64100;63800;ТВЕРЬ;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6460;
14.43;1456.000;93766.40;64400;64100;63800;САРАТОВ;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;1456;
33.07;1446.000;93122.39;64400;64100;63800;САРАНСК;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;6513.513;
25.92;1439.750;92719.90;64400;64100;63800;САМАРА;Арматура А240С(А1);6мм.;бухта_НЛМК-Урал;ГОСТ 34028-2016;Арматура;650;
